Id Town Population Latitude Longitude
1 Berlin 3520 52.5200 13.4050
2 Hamburg 1845 53.5511 9.9937
3 Munich 1471 48.8566 2.3522
4 Cologne 1085 50.9375 6.9603
5 Frankfurt 753 50.1109 8.6821
6 Stuttgart 623 48.7758 9.1829
7 Düsseldorf 619 51.2277 6.7735
8 Dortmund 586 51.5136 7.4653
9 Essen 583 51.4556 7.0116
10 Leipzig 593 51.3397 12.3731
11 Bremen 569 53.0793 8.8017
12 Dresden 554 51.0504 13.7373
13 Hanover 538 52.3759 9.7320
14 Nuremberg 517 49.4474 11.0768
15 Duisburg 498 51.4344 6.7623
